33554432  564.4992372001 5.4704222768 1.7298994157 135 0      
67108864  1143.9313476002 8.1408003072 2.5743470947 151 0      
100663296  1802.2675415001 8.9747940811 2.8380790827 150 0      
134217728  2270.6065186000 10.2896866036 3.2538846077 145 0      
167772160  3017.0672363000 23.2283746647 7.3454570285 135 0      
201326592  3807.6812744999 21.9080771327 6.9279422895 144 0      
234881024  4739.2041015000 10.4694003699 3.3107150905 122 0      
268435456  5013.2644531001 26.4514638832 8.3646873318 139 0      
301989888  6052.6918945002 35.4330806355 11.2049239327 152 0      
335544320  6354.2507814002 69.2172146975 21.8884051741 172 0      
369098752  7466.2112305000 108.3152654462 34.2522944183 188 0      
402653184  8134.2925782001 64.9905613887 20.5518200405 186 0      
436207616  10026.2717774001 46.6635691820 14.7563162371 164 0      
469762048  10149.9969726999 35.4134412116 11.1987134015 175 0      
503316480  11593.2343750001 45.5564664207 14.4062196041 186 0      
536870912  11594.9809571000 26.1280412956 8.2624121294 211 0      
570425344  13060.6669922001 65.0574888692 20.5729843682 252 0      
603979776  13052.2414063000 24.7868160224 7.8382794576 258 0      
637534208  11246.4756835001 65.0402479151 20.5675322998 311 0      
671088640  11216.4150391000 84.2625694955 26.6461641109 325 0      
704643072  12491.9257811000 60.3645516685 19.0889473211 340 0      
738197504  12234.7187500000 57.9860682974 18.3368048381 353 0      
771751936  13643.0133790000 128.4697779170 40.6257108722 362 0      
805306368  13364.7713869001 66.5928797142 21.0585175851 374 0      
838860800  14690.7106445001 24.3378581771 7.6963065211 336 0      
872415232  14381.1369141001 57.6712102837 18.2372379918 347 0      
905969664  15859.7724608997 58.5400916796 18.5120024146 358 0      
939524096  15534.9893554999 24.2373964874 7.6645377454 377 0      
973078528  20206.0695313999 23.8624262312 7.5459617389 278 0      
1006632960  19730.4951171001 53.4108469535 16.8899928135 249 0      
1040187392  21667.4480469001 96.1841505711 30.4160990619 260 0      
1073741824  21067.8691405001 41.2887488042 13.0566487962 265 0      
 
