33554432  101.8857696999 12.9569729084 4.0973545972 7275 44      
67108864  215.1174789000 .5743343305 .1816204622 10894 40      
100663296  242.1705903001 1.5129186909 .4784268977 8628 37      
134217728  397.7788698003 1.5826318840 .5004721451 7420 41      
167772160  494.7607360998 15.7371645465 4.9765283880 10844 40      
201326592  542.9517579001 4.6472997088 1.4696052049 12570 44      
234881024  653.7776308001 6.4263889319 2.0322026155 16699 40      
268435456  620.9986756001 20.4797402754 6.4762625160 16984 34      
301989888  848.9127869000 10.5599002992 3.3393336810 22764 38      
335544320  1034.0675169998 15.3773321861 4.8627394046 20365 39      
369098752  1020.9437621001 22.0161108943 6.9621055646 16744 40      
402653184  1138.9007690000 20.1135823390 6.3604732097 24819 40      
436207616  1369.6828004001 9.8888487079 3.1271285354 21107 39      
469762048  1484.0096434999 13.0837088634 4.1374320251 28222 39      
503316480  1691.1681397000 16.9777180097 5.3688258383 30585 39      
536870912  1269.2832639000 51.8267127289 16.3890455866 34585 40      
570425344  1843.3657471001 28.0550606839 8.8717891657 28946 40      
603979776  1825.9613036001 18.7091200123 5.9163432257 37793 36      
637534208  2061.1164672998 39.0002980495 12.3329771264 36116 36      
671088640  1880.9317260001 29.8018634290 9.4241766954 26415 36      
704643072  2129.7948241999 11.1694841061 3.5321010065 35992 38      
738197504  1883.8509400000 15.4566056991 4.8878078905 23684 37      
771751936  2089.5404054000 23.2392789697 7.3489052725 31052 38      
805306368  2135.4005127000 20.1114217568 6.3597899737 36257 39      
838860800  2319.4956543001 37.4726226735 11.8498837550 38406 40      
872415232  2261.7685791000 43.8997084094 13.8823067193 32398 40      
905969664  2881.5904541002 15.5101640388 4.9047445246 49598 40      
939524096  2214.3763673000 23.4243213609 7.4074208145 39730 40      
973078528  2898.5702392998 23.7118102274 7.4983327765 36842 40      
1006632960  2793.0931886000 51.2360144929 16.2022504030 56186 40      
1040187392  3206.6380128001 19.3308633175 6.1129557222 45130 40      
1073741824  3373.0480956999 65.1950816571 20.6164950281 40820 40      
 
 
