33554432  102.3673142999 2.2086076949 .6984230773 8106 44      
67108864  217.2521882000 1.0431529730 .3298739342 12378 40      
100663296  247.2141205000 3.5247403221 1.1146207578 8628 37      
134217728  403.7251068000 6.8021646820 2.1510333415 7420 41      
167772160  497.9900819000 17.8241255938 5.6364834178 11771 40      
201326592  545.7228819000 8.0921975682 2.5589775592 12570 44      
234881024  673.0956483001 11.1427628579 3.5236510058 16699 40      
268435456  612.9555113001 11.6945752172 3.6981493955 16984 34      
301989888  875.8973083000 11.9511287870 3.7792787577 22764 38      
335544320  1056.5088012000 9.1060970720 2.8796007342 20365 39      
369098752  1011.3873414000 9.1238383560 2.8852110208 16744 40      
402653184  1146.1433717001 17.3406531276 5.4835959999 20833 40      
436207616  1395.3123657000 11.1850526183 3.5370242023 21107 39      
469762048  1483.9676880998 15.6117232860 4.9368603785 28222 39      
503316480  1713.9883788000 21.7852051415 6.8890867542 30585 39      
536870912  1253.6095459001 44.1114406877 13.9492623447 34585 40      
570425344  1897.2578492001 20.0052331047 6.3262101734 28946 40      
603979776  1889.2932373000 14.2494174824 4.5060614575 37793 36      
637534208  2139.5470948998 25.6900190275 8.1238973261 36116 36      
671088640  1905.0061890999 26.4924181319 8.3776382024 27978 36      
704643072  2147.7184571002 15.6066734773 4.9352634887 35992 38      
738197504  1926.2578978000 17.8168803689 5.6341922765 23684 37      
771751936  2086.4197998001 16.3104157579 5.1578063380 27008 38      
805306368  2188.4730468001 34.2495283498 10.8306518374 32720 39      
838860800  2465.2241211000 32.5870444141 10.3049282563 43703 40      
872415232  2243.5946774999 17.8394463007 5.6413282507 26362 40      
905969664  2913.8482664001 12.9437717179 4.0931800142 41667 40      
939524096  2245.9489502000 27.3702785424 8.6552420389 34538 40      
973078528  2950.2137941001 21.6509133593 6.8466199639 36757 40      
1006632960  2797.5503173001 9.8335937316 3.1096553777 48498 40      
1040187392  3258.9504150000 25.3195157629 8.0067339065 40930 40      
1073741824  3376.7937499999 50.0271324932 15.8199683488 42085 40      
 
