33554432  93.4780058999 1.3988308620 .4423491585 7485 21      
67108864  186.2142105000 15.2281731263 4.8155711683 7916 22      
100663296  276.2657838002 18.4828401652 5.8447872552 9297 28      
134217728  366.0051910001 16.8527291956 5.3293009049 8807 24      
167772160  467.8665039001 8.1705387889 2.5837512284 8379 19      
201326592  563.3853760001 12.2378124053 3.8699360779 9842 18      
234881024  653.4710631001 16.5009987371 5.2180739677 10224 19      
268435456  707.2655762999 34.3337184017 10.8572750694 10687 20      
301989888  856.7219786999 33.6851394178 10.6521763862 10843 19      
335544320  958.9546631001 27.5841915177 8.7228872612 10926 21      
369098752  1039.3600645999 29.4759521491 9.3211144995 8384 22      
402653184  1111.8509400000 46.3591703148 14.6600568633 8878 23      
436207616  1204.1787717999 41.2862071689 13.0558450606 9190 21      
469762048  1330.8097778999 40.7702326155 12.8926795802 9464 20      
503316480  1430.2627809000 55.3897296682 17.5157704736 9498 22      
536870912  1502.3442624998 59.4464325650 18.7986125681 9352 22      
570425344  1564.8822632000 52.9536192011 16.7454047028 9665 24      
603979776  1664.0158326001 56.8418051059 17.9749570453 9923 25      
637534208  1785.3259643001 69.1587419083 21.8699144546 10307 27      
671088640  1903.4337281001 32.4813283966 10.2714979163 10172 27      
704643072  2018.0863648000 70.4642545119 22.2827537888 10435 27      
738197504  2161.1908201999 100.6090806489 31.8153848152 11384 29      
771751936  2199.9055421000 50.4356530640 15.9491538963 11297 28      
805306368  2275.3834717001 33.2275045503 10.5074595344 11490 28      
838860800  2392.1146971999 79.4770503948 25.1328500964 11557 27      
872415232  2488.2857423999 49.7537200762 15.7335077510 11765 28      
905969664  2580.1877685999 53.4060162020 16.8884651957 11914 28      
939524096  2640.8094725999 59.9908991217 18.9707880110 12143 29      
973078528  2762.3698243000 96.9350056628 30.6535402902 12228 29      
1006632960  2817.8931639002 111.3417214577 35.2093438417 12587 30      
1040187392  2956.3954589000 86.2786123186 27.2836928291 12238 31      
1073741824  3034.9244386000 80.8392259457 25.5636078278 11346 30      
 
