33554432  12388.5275391998 31.3853911535 9.9249321302 33549907 68260      
67108864  25219.6466797000 528.3367572872 167.0747524651 67099718 71659      
100663296  37778.4687499000 104.3520556079 32.9990174248 100649579 73084      
134217728  50353.5312501002 88.3548467234 27.9402557967 134199562 74099      
167772160  63691.6472655000 180.6931876917 57.1402030794 167749416 74640      
201326592  76565.5492186002 1408.2908077535 445.3406560475 201299384 75100      
234881024  88906.6343749002 1904.8768865686 602.3749623897 234849313 75433      
268435456  101342.1851562999 288.3275121978 91.1771650654 268399115 75723      
301989888  115508.1328123999 247.1091264211 78.1427670122 301949013 75958      
335544320  127834.7906249001 218.1494653037 68.9849180722 335498946 76101      
369098752  140305.2156250000 436.8466010430 138.1430247428 369048809 76258      
402653184  152620.5968750000 268.4338551322 84.8862383335 402598698 76399      
436207616  165501.7921875003 1775.9890266675 561.6170423856 436148714 76576      
469762048  177153.6453125000 391.9788309587 123.9545900426 469698659 76658      
503316480  190335.3343750001 1327.0956740456 419.6645003031 503248415 76732      
536870912  203547.4218750000 494.7408742021 156.4508014095 536798423 76819      
570425344  220112.7609375000 663.3034810946 209.7549780222 570348262 76911      
603979776  231920.8578124999 513.9761776059 162.5335384337 603898120 76990      
637534208  244529.2515625002 2037.4019666691 644.2830724120 637448200 77071      
671088640  257089.0187500001 1549.1040895261 489.8697255689 670997971 77137      
704643072  269366.4562500001 1075.6701950565 340.1567827609 704548040 77240      
738197504  281836.1500000000 1321.3607823871 417.8509683255 738097730 77273      
771751936  294873.3500000001 1707.3699432177 539.9177829197 771647674 77311      
805306368  307376.5562500000 1505.1402536363 475.9671399597 805197478 77363      
838860800  319902.1562500001 1957.7251341130 619.0870456489 838747218 77428      
872415232  331557.2281250003 927.4319033442 293.2797189336 872297398 77461      
905969664  344877.2750000000 1274.5234609351 403.0397067962 905847291 77494      
939524096  358004.4031249999 2972.2171059026 939.8975755369 939397144 77552      
973078528  369317.5718750000 2033.8349381853 643.1550789632 972947025 77574      
1006632960  1006632960  
1006632960  1006632960  381545.5375000001 2798.6217483393 885.0019034226 1006496993 77617      
1040187392  393302.8656249999 2494.2189413082 788.7412837838 1040046830 77668      
1073741824  0 0 0        
 
