369098752  9366.4195800499 911.9177219362 203.9110016181 0 20     64732.6498046501 367.7535480165 82.2321932349 0 20     6873.5545654501 756.3484028846 169.1246443561 30 16     7595.1482910501 813.6270787342 181.9325456424 90 23     1031.0971068000 11.1913582244 2.5024637750 386 25     470.2496658500 7.6341759952 1.7070536477 117 17     527.3218613001 12.3822993215 2.7687663001 95 14     476.9494399001 8.1223198933 1.8162059416 171 18     1050.1949035999 133.4954235992 29.8504841859 391 20     1031.3322754001 148.4229476532 33.1883800380 109 21      
402653184  10248.6563965500 880.6176944250 196.9121026967 0 20     71392.2042970002 370.4919198484 82.8445117913 0 23     6998.6937256500 1018.9583593305 227.8460157755 426 20     7736.4241454999 873.0843840438 195.2276032858 208 26     1123.2092041497 16.4249108082 3.6727217092 116 20     509.9590576502 6.6144269648 1.4790308325 73 19     575.2690765501 9.8720139728 2.2074494318 52 23     516.4077972500 7.1378122260 1.5960633348 231 23     1119.0471067997 129.1355099036 28.8755778459 148 21     1120.8674194000 103.2209082437 23.0808967537 80 19      
436207616  10353.5445313000 857.8832709828 191.8285310720 0 20     77473.5996093500 366.6468797295 81.9847346831 0 21     8376.3493406999 991.1567303258 221.6293825414 233 23     8843.7787352999 1063.3857603089 237.7802846408 87 18     1215.3988220498 15.8987963085 3.5550789307 110 21     552.5480438001 8.2487751663 1.8444822003 62 18     620.0899506499 9.2451046569 2.0672682472 147 21     565.5645935002 15.4535246926 3.4555131705 240 18     1251.9622924498 164.5662437994 36.7981307945 77 26     1252.4464265000 157.1609090763 35.1422476108 151 20      
469762048  11798.8511719501 1430.9955185070 319.9803254950 0 23     83874.5609376002 662.7139633542 148.1873471731 0 27     8628.8909666999 915.6526987678 204.7461678271 96 21     8593.5179687999 1058.3385350117 236.6516907546 66 20     1306.2705383498 18.0964494500 4.0464891122 54 18     599.4677276501 7.0481648132 1.5760175639 403 19     668.5667145000 15.1318232536 3.3835785419 307 17     605.9686126498 15.0797357297 3.3719314175 508 21     1293.8684571501 102.5868538676 22.9391178850 133 20     1254.0076964499 171.4722349879 38.3423573695 54 19      
503316480  12454.8159667001 1335.1458523397 298.5476885774 0 20     90758.9878907000 605.7368334174 135.4468736026 0 18     9524.2158691501 1362.7897874114 304.7290603762 73 22     9846.7487304501 1563.5256570610 349.6149653831 215 21     1400.0106690998 15.4204807132 3.4481243121 2035 20     641.4285583501 7.1531473036 1.5994923624 234 18     715.9438415998 13.3663457960 2.9888057811 65 23     652.5900389997 12.3943590364 2.7714629343 90 16     1418.5226318003 150.3600741353 33.6215346875 105 23     1428.3411011001 186.2967237139 41.6572138219 150 20      
536870912  13539.7444334999 1225.4074029571 274.0094253204 0 19     97568.0562499000 515.7359024781 115.3220536403 0 19     9963.3871582999 1168.9741082807 261.3905570111 285 19     10050.5291502501 847.6816440225 189.5473779355 135 22     1509.1347655501 22.2016527008 4.9644404652 91 20     686.1300414002 8.1430728725 1.8208464489 139 23     767.6451751002 12.8713463363 2.8781205370 100 21     689.7997924500 11.4320668997 2.5562878711 135 19     1462.8074829498 190.3887821927 42.5722259145 336 17     1509.4739134998 122.6200659884 27.4186802961 75 22      
570425344  13988.1795410999 1442.7169185017 322.6013102130 0 21     103359.5453124497 507.7441909739 113.5350526223 0 22     10793.8064453999 1346.2611053883 301.0331347179 46 17     11331.0279296498 1693.4676031977 378.6708678528 186 19     1586.9393494501 21.5031290421 4.8082458268 49 13     734.9798462001 41.2517942711 9.2241816186 76 21     816.6975006002 14.9877491319 3.3513625889 148 23     735.2221374502 12.4103985316 2.7750494745 222 21     1582.6707031500 239.3508411606 53.5204751318 95 17     1675.3247924502 176.2236532606 39.4048067942 228 20      
603979776  15339.9929198999 1656.6965119094 370.4486018798 0 20     110289.7730467999 471.1958216535 105.3625887954 0 22     10506.8589845002 1244.2738355964 278.2280879079 188 20     11628.5302245499 1498.6801414125 335.1150672801 90 19     1678.7974182001 27.0673814539 6.0524504905 66 21     773.8198545998 7.3567959206 1.6450295775 85 18     859.5065917499 14.6549621224 3.2769491514 74 20     775.1332213998 14.5907313067 3.2625867043 118 24     1661.0873048503 173.4739794323 38.7899610346 280 23     1674.4511963498 124.2744805113 27.7886186297 73 15      
637534208  15789.7202149001 1719.6881260164 384.5339549957 0 20     116841.7437499998 547.3957758948 122.4014165524 0 22     12701.8849120000 1433.8434790416 320.6171488303 35 18     11996.8515136499 1226.1180454128 274.1683298043 83 19     1780.1419555999 24.8269736189 5.5514800688 64 20     817.8719727501 24.2023059480 5.4118001313 130 17     911.1466126503 16.6883280652 3.7316235985 104 21     819.7040405501 12.8453384035 2.8723049864 75 18     1772.0733033500 241.7100980755 54.0480210156 130 22     1793.1030517999 231.3584011512 51.7333112151 159 17      
671088640  16957.9469727500 2178.8100270832 487.1967330724 0 24     123772.7992188501 484.4352223505 108.3230087895 0 21     12226.9178711002 1307.1053460628 292.2776407614 142 22     12533.0514647998 1396.1493060313 312.1884755094 99 20     1870.5665589003 25.8926699640 5.7897770159 86 20     855.1151795001 9.2763023565 2.0742442649 101 16     955.3583955002 17.6956745296 3.9568731156 123 23     857.8188049499 10.8893851616 2.4349405455 75 22     1836.2332824500 201.0109160082 44.9474072423 241 23     1887.4425658499 200.8587385431 44.9133793267 159 22      
704643072  17284.7220213998 2056.4890007896 459.8449200848 0 12     130415.4585937999 799.0074136268 178.6634891435 0 19     13098.2142577500 1874.9076613585 419.2420982426 788 16     14165.1118163998 2032.1302702707 454.3981423561 111 20     1968.4546203001 26.0269377785 5.8198002120 140 20     902.6975403499 12.9492939452 2.8955501522 51 20     999.8058228001 18.4348457922 4.1221568347 40 19     902.1641784000 13.2974443653 2.9733989528 177 17     2049.4927978500 241.6935575470 54.0443224410 126 24     2144.6672790000 156.5243839366 34.9999162626 220 23      
738197504  19013.5444824498 1479.2100347910 330.7614190866 0 22     137042.6796875001 471.0860308158 105.3380388178 0 16     13992.9881348500 1292.2445378319 288.9546630209 97 23     13233.8736816001 1875.1846290245 419.3040300954 87 20     2064.5545044499 30.5588085163 6.8331573155 141 20     938.9075073502 10.6560415236 2.3827633218 145 20     1053.8485961505 24.6356414842 5.5086969029 98 19     953.6886016503 19.9984343586 4.4717858670 185 23     2134.9686706999 130.1372968045 29.0995842069 37 18     2021.0278136998 270.4719910858 60.4793758091 95 25      
771751936  19880.2480469000 2405.2633926637 537.8332449907 0 27     143896.4226562499 905.8895216945 202.5630550658 0 21     14447.7915038999 1815.0024663514 405.8468894181 244 26     15796.4740722999 2169.5002771062 485.1150096922 67 24     2157.6182006500 26.3058752059 5.8821725169 106 23     989.6322753500 15.0709242616 3.3699611133 190 17     1104.1407349499 17.6740070474 3.9520281193 49 19     981.3240844501 20.9175484521 4.6773060262 414 21     2221.2152833001 269.4415980498 60.2489729218 167 17     2271.4334594999 228.7875313977 51.1584472621 114 19      
805306368  
