33554432  84.4687973999 1.5399431542 .4869727834 135 0      
67108864  174.1266770001 2.3059789559 .7292145737 151 0      
100663296  264.2411711999 1.3093149604 .4140417449 150 0      
134217728  343.7363160001 6.4113151401 2.0274358640 145 0      
167772160  433.0426146000 4.5729797185 1.4461031604 135 0      
201326592  551.4074402000 6.3696866356 2.0142717750 144 0      
234881024  672.3548950001 6.5672039279 2.0767322271 122 0      
268435456  732.4821654001 6.2455142750 1.9750050268 139 0      
301989888  868.4322633001 11.5849620715 3.6634866753 152 0      
335544320  937.1729432001 13.2187171232 4.1801253855 172 0      
369098752  1066.2773436000 7.9047168006 2.4996909349 188 0      
402653184  1178.3544800000 13.7755964854 4.3562261022 186 0      
436207616  1436.6158446000 13.4355887569 4.2487062178 164 0      
469762048  1483.2568725001 14.5423585140 4.5986975455 175 0      
503316480  1660.7701661000 10.2748334359 3.2491876237 186 0      
536870912  1732.0104004002 15.5246791576 4.9093346082 211 0      
570425344  1865.6461058001 23.3049938267 7.3696861350 252 0      
603979776  1922.4874757001 18.2273718420 5.7640010780 258 0      
637534208  1658.8501585000 9.8300456292 3.1085333692 311 0      
671088640  1693.6002319999 21.9676314347 6.9467750134 325 0      
704643072  1851.5241699001 12.3631065513 3.9095575658 340 0      
738197504  1859.0334718000 21.7659000724 6.8829819553 353 0      
771751936  2027.6068725000 20.9778707242 6.6337851950 362 0      
805306368  2040.2753176000 9.9690668589 3.1524957421 374 0      
838860800  2165.1103515999 34.4615826624 10.8977092989 336 0      
872415232  2188.4381101001 33.4773080906 10.5864543499 347 0      
905969664  2382.6620849001 30.4724062173 9.6362209434 358 0      
939524096  2372.1136475001 19.7424014777 6.2430955152 377 0      
973078528  2930.8649902999 21.7109169157 6.8655947545 278 0      
1006632960  2923.0638182001 29.7701167833 9.4141375246 249 0      
1040187392  3166.3534913000 33.3156334721 10.5353283465 260 0      
1073741824  3124.7073730999 36.9432821413 11.6824915811 265 0      
 
