33554432  87.7954262002 5.9291052535 1.8749477088 143 0      
67108864  173.7216416000 2.0473928399 .6474424639 125 0      
100663296  267.3305601999 2.5301584986 .8001063696 219 0      
134217728  345.7341675001 9.8670693079 3.1202412844 257 0      
167772160  440.4936219002 6.6603852026 2.1061987334 155 0      
201326592  556.6775146000 5.0581151497 1.5995164540 191 0      
234881024  684.2176331001 9.2348151774 2.9203049731 191 0      
268435456  743.8635192000 5.1071703182 1.6150290604 255 0      
301989888  880.9567076002 9.8769557977 3.1233676670 289 0      
335544320  941.6335939002 12.4319492283 3.9313275317 322 0      
369098752  1079.8460205000 4.2970380687 1.3588427489 352 0      
402653184  1197.2700072002 13.0158370258 4.1159690655 285 0      
436207616  1448.3815551001 9.5096979246 3.0072305302 145 0      
469762048  1496.2396239999 9.3838714249 2.9674406973 155 0      
503316480  1681.1656249000 14.1733600499 4.4820099856 156 0      
536870912  1707.1137451001 8.9509477134 2.8305381992 163 0      
570425344  1885.7469116001 11.5464072697 3.6512945764 202 0      
603979776  1931.4266723999 14.7072703921 4.6508472603 206 0      
637534208  1660.1643311000 13.4098675799 4.2405724674 776 0      
671088640  1696.0325560999 20.0777048931 6.3491277652 781 0      
704643072  1851.2113158000 11.8526999481 3.7481528259 815 0      
738197504  1868.0683838000 11.5436244972 3.6504145865 849 0      
771751936  2035.3720581000 16.0684930234 5.0813036521 888 0      
805306368  2051.3786500002 19.0903700783 6.0369050824 925 0      
838860800  2206.9109375000 14.8335887158 4.6907926217 929 0      
872415232  2183.2410157001 21.4405553373 6.7800989166 974 0      
905969664  2375.4382812000 16.2343180901 5.1337421425 1003 0      
939524096  2375.9064940999 17.1595277072 5.4263191128 1040 0      
973078528  2944.9103028000 23.3778410659 7.3927224547 184 0      
1006632960  2941.7290772000 33.6187349075 10.6311774363 115 0      
1040187392  3166.9063231999 23.2665582841 7.3575317492 122 0      
1073741824  3128.8863281000 25.5686801605 8.0855266073 128 0      
 
