33554432  590.2697815002 7.6706544106 2.4256739082 135 17      
67108864  1188.3386717000 10.1213118406 3.2006398325 151 20      
100663296  1881.3460572000 9.9908207436 3.1593749244 150 23      
134217728  2367.1175049000 16.6222556870 5.2564187821 145 22      
167772160  3123.0131593000 13.2126631973 4.1782109661 135 23      
201326592  3940.3229248000 18.2113296646 5.7589280961 144 23      
234881024  4912.1849120000 15.9032173150 5.0290388841 122 23      
268435456  5219.7701660001 25.3558409527 8.0182209401 139 23      
301989888  6261.6860841000 16.2307126098 5.1326019895 152 23      
335544320  6586.8003906001 15.0067017065 4.7455357560 172 23      
369098752  7695.9130371003 18.9047053461 5.9781927389 188 21      
402653184  8405.9742188000 40.7594802003 12.8892793680 186 21      
436207616  10637.6133788001 26.8547193528 8.4922079081 164 21      
469762048  10829.4446288001 40.5686339790 12.8289284938 175 22      
503316480  12280.8983398000 45.7718369911 14.4743257584 186 22      
536870912  12381.5135741998 19.1407052960 6.0528224758 211 22      
570425344  13931.1542967000 53.7892686591 17.0096602641 252 22      
603979776  13858.5984375002 22.4000064915 7.0835040117 258 22      
637534208  11712.7457030999 43.0679234297 13.6192732134 311 22      
671088640  11563.4046874000 25.8649115937 8.1792032116 325 22      
704643072  12942.5250000002 15.1494835003 4.7906873237 340 22      
738197504  12756.1643554002 59.4351259526 18.7950371033 353 22      
771751936  14128.2014648002 15.1757349828 4.7989887713 362 22      
805306368  13914.4398438000 91.4651874986 28.9238319116 374 22      
838860800  15339.4696289001 67.9347849216 21.4828652710 336 22      
872415232  15037.6705077001 53.3992855583 16.8863367793 347 22      
905969664  16532.2314453002 89.1556522094 28.1934927265 358 22      
939524096  16172.2330079000 19.3508365390 6.1192718094 377 23      
973078528  21352.4048827000 32.5511255799 10.2935697236 278 23      
1006632960  20880.0578124002 58.2605578024 18.4236060411 249 23      
1040187392  22885.0271483000 50.2656536343 15.8953953564 260 23      
1073741824  22355.4740233000 131.0218772820 41.4327555531 265 22      
 
