33554432  97.6361465001 3.1964451899 1.0108047216 7275 0      
67108864  214.1448394000 1.0466242921 .3309716617 10894 0      
100663296  240.3960386999 3.1760969973 1.0043700581 8628 0      
134217728  400.1641908000 7.0631129483 2.2335524288 7420 0      
167772160  492.8065216000 15.2839288188 4.8332026664 12406 0      
201326592  539.2176207000 6.8248283089 2.1582002096 12570 0      
234881024  653.3643188000 8.0353267891 2.5409934397 16699 0      
268435456  612.2962159002 18.2235137927 5.7627810557 16984 0      
301989888  845.5649292002 10.7682282997 3.4052127792 22764 0      
335544320  1026.9015869000 11.6673006607 3.6895244234 20365 0      
369098752  998.1796938000 16.5017790887 5.2183207366 16744 0      
402653184  1122.2920532001 10.2827841457 3.2517018588 20833 0      
436207616  1373.1864990002 9.3042921995 2.9422755366 21107 0      
469762048  1480.0519410000 15.2866908426 4.8340760950 28222 0      
503316480  1697.4442016998 24.2068350165 7.6548733597 30585 0      
536870912  1234.8390137999 29.2768277430 9.2581458334 34585 0      
570425344  1844.6777831998 40.5564515192 12.8250760617 28946 0      
603979776  1823.0189329999 18.4789530786 5.8435580505 37793 0      
637534208  2086.7265869999 25.2741953259 7.9924023259 36116 0      
671088640  1886.7481933001 20.4752569792 6.4748447732 26415 0      
704643072  2115.2208496002 22.0442145811 6.9709927307 35992 0      
738197504  1908.4058349000 31.8646137142 10.0764756100 23684 0      
771751936  2092.4312744000 11.5782566768 3.6613662433 31052 0      
805306368  2135.1489013000 46.3610236054 14.6606429253 29649 0      
838860800  2414.7911621999 45.8945275493 14.5131239196 38406 0      
872415232  2242.9079102000 32.4790323616 10.2707718463 32398 0      
905969664  2887.5603029002 7.6896310480 2.4316748478 49598 0      
939524096  2172.8210448000 32.3815700979 10.2399515723 39730 0      
973078528  2929.7414062002 23.0322810867 7.2834467944 36842 0      
1006632960  2782.4662598001 25.7100761823 8.1302399554 45186 0      
1040187392  3233.4961669999 22.1953226143 7.0187772864 45130 0      
1073741824  3407.9240234001 28.9447106406 9.1531211840 43619 0      
 
