33554432  6061.2581055000 22.7971929306 7.2091053920 33549909 0      
67108864  12107.3396485002 40.7726716215 12.8934508616 67099739 0      
100663296  18218.4824217998 61.7001560264 19.5113025035 100649582 0      
134217728  24225.3703124000 82.1982971702 25.9933838850 134199583 0      
167772160  30324.9625000001 57.5664758720 18.2041180628 167749447 0      
201326592  36602.8191405000 675.6420811365 213.6567859493 201299337 0      
234881024  42426.6179687999 166.5725097943 52.6748526532 234849337 0      
268435456  48584.1531250000 202.8904605595 64.1595970902 268399045 0      
301989888  54446.7074218999 201.3219882939 63.6636026096 301949042 0      
335544320  60546.1824219001 232.2740267278 73.4514965774 335498930 0      
369098752  66807.9789059998 146.6529399421 46.3757315786 369048769 0      
402653184  73935.3250000003 3509.5871437910 1109.8289021464 402598750 0      
436207616  78768.2249999000 256.5187311751 81.1183453027 436148722 0      
469762048  85149.3515624000 346.3772300476 109.5340976594 469698677 0      
503316480  91618.1132812000 1327.9381398888 419.9309113946 503248397 0      
536870912  97048.9890623000 334.3611843894 105.7342903844 536798440 0      
570425344  102923.2031250000 378.1289645207 119.5748777192 570348304 0      
603979776  109244.0078125002 541.4381259362 171.2177690048 603898326 0      
637534208  115145.5679688000 654.8975128597 207.0967774660 637448174 0      
671088640  121440.7101563001 435.3891105890 137.6821257925 670998070 0      
704643072  130008.8507812002 5731.2861275383 1812.3918085539 704548021 0      
738197504  133735.6156250000 858.3632995692 271.4383086594 738097764 0      
771751936  139392.9187500001 673.6015303505 213.0115071328 771647687 0      
805306368  145770.4406250002 762.3747438033 241.0840621057 805197381 0      
838860800  152469.1859375001 2846.9914147747 900.2977349827 838747413 0      
872415232  157483.8375000001 447.0156970745 141.3587752633 872297420 0      
905969664  164345.1187500001 2658.8500060896 840.8021976177 905847296 0      
939524096  169932.7203125000 764.9054705494 241.8843481711 939397057 0      
973078528  175348.9984375000 823.4725700302 260.4048912024 972947163 0      
1006632960  182411.0156250001 1298.7287400259 410.6940881291 1006496817 0      
1040187392  189607.6812500001 4437.5966562927 1403.2912771335 1040046918 0      
1073741824  196011.0031250000 4051.4825882992 1281.1912879816 1073596613 0      
 
