33554432  710.1585448002 6.5652533463 2.0761153990 7120 0      
67108864  1360.8066893999 7.6842323399 2.4299676264 9019 0      
100663296  2164.6177246000 19.1766884443 6.0642013464 8099 0      
134217728  2757.9550537001 17.5644219033 5.5543578999 10212 0      
167772160  3624.4795409001 11.2415367379 3.5548860492 12730 0      
201326592  4132.7156251000 13.8076028283 4.3663473965 15273 0      
234881024  5100.7224609000 18.5446575620 5.8643356325 17871 0      
268435456  5444.2409667999 14.2139717201 4.4948525233 20493 0      
301989888  6534.5589844000 57.8418867730 18.2912106368 20757 0      
335544320  6868.2297852002 21.0345220151 6.6516999062 23023 0      
369098752  7996.1454590000 24.0483590486 7.6047588584 25316 0      
402653184  8298.5583006998 43.0406674096 13.6106541031 27580 0      
436207616  9478.9961913999 23.6848484705 7.4898067204 29925 0      
469762048  9664.3888671001 38.8516938652 12.2859843572 32119 0      
503316480  10962.0225586999 16.8730767165 5.3357353560 34457 0      
536870912  11031.7547853001 48.3824436871 15.2998720819 36728 0      
570425344  12403.3309570002 15.3475788162 4.8533305629 38995 0      
603979776  12386.0985351998 21.6652458711 6.8511523021 41300 0      
637534208  13761.0553712001 57.9579213330 18.3279039865 43613 0      
671088640  13812.7906250999 45.6169909435 14.4253591387 28960 0      
704643072  15327.6509764999 26.3227251403 8.3239765667 30495 0      
738197504  15189.5147459002 135.6916509242 42.9094676398 31876 0      
771751936  16790.8523438002 40.6704703322 12.8611319762 37453 0      
805306368  16536.6386720001 35.9898694143 11.3809960043 39106 0      
838860800  18121.9490235000 115.0358732583 36.3775372130 40671 0      
872415232  17963.7277345000 74.3359671270 23.5070968197 42245 0      
905969664  19764.0892578000 50.8448254085 16.0785455527 43814 0      
939524096  19306.1863280000 42.2205421741 13.3513077320 45421 0      
973078528  21212.1642578000 58.0666223387 18.3622782627 46974 0      
1006632960  20716.2591796999 44.1536509455 13.9626104002 48716 0      
1040187392  22586.7140625001 43.1885811617 13.6574285384 50375 0      
1073741824  22104.1230470000 40.6888122683 12.8669322057 51962 0      
 
