0.24  1039.2958372500 10.8770331162 0 485     1378.6226502500 5.0568780731 0 485     291.5544127500 9.2151589747 318766 485     303.5074082499 6.4856363055 318766 485     81.7945192500 .6919911735 318766 485     80.7316702500 1.3639041547 318766 485     77.3195072501 6.2202283483 318766 485     61.7739210000 14.7376974072 318766 485     127.9208924999 1.5137941112 318766 485     130.0951005000 1.1383693822 318766 485      
0.26  973.7394102501 14.2493170969 0 482     1350.4234010001 12.9295920028 0 482     293.2108232500 12.0155662040 324527 482     313.0599820000 1.1802416596 324527 482     81.2291259999 .5639103846 324527 482     81.3327655001 .3584712716 324527 482     89.1042365001 10.0513999060 324527 482     56.7086610001 2.7306670993 324527 482     132.2631647500 .9184436969 324527 482     124.6857755001 18.3791425350 324527 482      
0.28  968.2532502501 16.4834237294 0 505     1356.9304200001 14.1624444141 0 505     287.0986634999 4.1388815310 330613 505     298.6320342500 1.0383254800 330433 505     76.5860612500 2.8117059894 330613 505     73.8536529999 .7561544555 330613 505     76.1970272501 1.0540878764 330613 505     57.9494077501 .6959779994 330613 505     133.2530629999 1.1123724319 330613 505     136.3660240000 1.3637353698 330433 505      
0.30  892.6268617501 14.3014589972 0 501     1355.0998535000 3.6440750085 0 501     282.2366177500 .1253091600 333925 501     302.3312990000 9.3585411538 333925 501     73.9347382501 2.1943271742 333925 501     73.1010535000 1.6285423611 333925 501     75.4038770001 1.6225042317 333925 501     67.3275547500 22.9136313822 333925 501     134.9223520000 .6998387140 333925 501     135.2518577500 1.1683408567 333925 501      
0.32  817.0067292501 3.3732835919 0 506     1363.4851990000 14.1498549284 0 506     280.6461562501 .5837091016 339713 506     295.4604492499 1.3284734135 339707 506     75.9769667500 1.7571758615 339713 506     76.2873477500 .8871822047 339713 506     78.3443967500 .7656775723 339713 506     58.5842400001 1.8402314651 339713 506     138.4548377500 .9718113904 339713 506     137.5707170000 1.3900049438 339707 506      
0.34  802.8810119999 4.3182742409 0 516     1366.6251830000 4.8433714631 0 516     288.2393112500 2.8521970310 345440 516     297.3454742499 1.3396175746 345653 516     78.9129295000 1.5721861788 345440 516     77.0566672501 3.8946866752 345440 516     77.5170647500 .9632323459 345440 516     59.6556300000 1.2585830576 345440 516     149.3028335000 8.8454122448 345440 516     158.1386262500 14.2193234687 345653 516      
0.36  713.6924742501 6.1992645313 0 502     1337.1248170000 5.1694833615 0 502     278.1627350000 1.0225054048 349365 502     293.4587935001 .4255438008 349365 502     77.0258445000 2.1197113431 349365 502     75.2793139999 .4982576253 349365 502     79.2049177500 3.6158379591 349365 502     61.5845492500 1.8041896166 349365 502     138.4834557499 2.1513735070 349365 502     140.2341839999 .9008175060 349365 502      
0.38  634.9620515000 5.0796047776 0 513     1353.3732299999 10.6424108234 0 513     276.8293762501 .2589554643 355259 513     292.9524687499 2.4699943032 355259 513     77.8856620001 3.2987189349 355259 513     75.5126092499 1.2062015022 355259 513     79.3228912501 1.6875837150 355259 513     67.5969932500 14.2618729656 355259 513     142.0166170000 .8327511425 355259 513     143.9104535000 1.1556508253 355259 513      
0.40  572.9637757500 10.3647236587 0 525     1335.7845152500 7.0184626171 0 525     275.0434190001 .9266993742 360786 525     292.6484455000 9.9194777542 360858 525     76.2759932500 .3388547767 360786 525     74.5569722500 1.8075454943 360786 525     79.9097099999 3.0933961270 360786 525     68.3675602500 13.2111521158 360786 525     147.8176802501 .9521888238 360786 525     147.1955415001 1.1658173360 360858 525      
0.42  477.8391340000 6.2631371974 0 522     1355.2178342500 12.1671409399 0 522     271.7043152500 1.2057568351 364874 522     286.6605377500 2.3076191320 364874 522     77.4242250000 1.9661344442 364874 522     77.5840760000 1.4214507615 364874 522     80.9080372500 1.8797476320 364874 522     69.1999017500 15.1074604229 364874 522     157.0122795000 10.8585070511 364874 522     151.4532392500 1.3149217472 364874 522      
0.44  432.9927750000 .6147030980 0 515     1360.7932130001 9.5858251845 0 515     279.6681670001 8.6114560606 371203 515     287.5853730000 1.3236344553 371203 515     79.9842680000 .5701184376 371203 515     79.8575532500 .8730588506 371203 515     83.6149407500 2.6335591906 371203 515     62.7303457500 .9751077910 371203 515     155.2718772500 1.7943708514 371203 515     159.1032867500 3.4577584292 371203 515      
0.46  463.4873810001 10.0779449411 0 538     1352.7119445000 11.4353248310 0 538     274.6844712500 1.1721338611 376487 538     288.6211090000 .5429551237 376526 538     79.6779062499 .7010087065 376487 538     77.6090354999 .7820495626 376487 538     81.0963630000 .1779633951 376487 538     62.6966335000 .5866534747 376487 538     158.8467180000 1.7015122039 376487 538     158.8736990000 .7233055476 376526 538      
0.48  454.5971297499 .0367026415 0 515     1351.4341124999 2.1626827052 0 515     274.1836470000 2.5758512172 380509 515     287.8487472500 1.2204896209 380509 515     78.8686675000 .6106428772 380509 515     78.5519732500 .8017196394 380509 515     80.1947592500 .3948701694 380509 515     68.7565690000 11.6037299584 380509 515     161.9358177500 1.2222746745 380509 515     160.6952972500 1.2828227004 380509 515      
0.50  429.7630232501 .3858086542 0 511     1337.9960937500 2.2595938350 0 511     273.7076797500 1.4642467465 386746 511     289.3071365000 .3444079238 386746 511     80.1634465001 .8192387339 386746 511     79.4028245000 .6314413971 386746 511     83.0148257501 2.4599148506 386746 511     63.9963862500 1.1511783146 386746 511     161.5394287499 11.2599802790 386746 511     166.7959787500 1.0496388494 386746 511      
