33554432  1029.9572021001 4.4709676310 1.4138441059 33549904 0     1218.1905640001 5.8962905099 1.8645707757 33549904 0     106.1268234001 .9632163349 .3045957497 33549915 0     97.2159547000 2.7426458260 .8673007625 33549904 0     101.8993721001 7.5380704785 2.3837471875 33549904 0     267.0699007001 4.4600624059 1.4103955709 33549904 0      
67108864  1961.5645750999 8.4039527658 2.6575632088 67099722 0     2376.2409181000 8.3523293027 2.6412384364 67099722 0     190.9329268999 2.1767577821 .6883512506 67099723 0     191.4909958003 7.3649283982 2.3289948542 67099722 0     188.0364593001 6.4731328632 2.0469843445 67099722 0     488.5138764001 1.7187396079 .5435131865 67099722 0      
100663296  3106.6596680000 7.5238218622 2.3792413794 100649589 0     3680.9901122999 4.8666757654 1.5389780052 100649589 0     291.4115478001 9.6755103659 3.0596650281 100649575 0     275.8622131000 4.0536132581 1.2818650649 100649589 0     275.9721923999 1.3100469470 .4142732194 100649589 0     756.2792906997 18.1825792485 5.7498364163 100649589 0      
134217728  3944.0632080999 7.6088807397 2.4061393582 134199559 0     4779.9100098001 16.5508179290 5.2338281795 134199559 0     404.7311432002 9.8553294835 3.1165288259 134199558 0     394.5273255000 11.1028689477 3.5110354437 134199559 0     389.3261107000 9.7483247457 3.0826909568 134199559 0     1105.1206056000 92.9506229892 29.3935678583 134199559 0      
167772160  5199.7357421999 15.4560995070 4.8876478185 167749431 0     6187.8191406000 25.3556810022 8.0181703593 167749431 0     501.7810728001 61.1585382432 19.3400279219 167749436 0     438.0801543000 2.5476900717 .8056503398 167749431 0     437.8187286003 16.8712341895 5.3351526978 167749431 0     1483.6455078999 115.3438693290 36.4749341224 167749431 0      
201326592  5942.0806640001 23.4511099808 7.4158921200 201299358 0     7181.6003908001 25.1921534502 7.9664584068 201299358 0     552.2695068002 18.7084441244 5.9161294912 201299386 0     523.3358642002 3.8850325618 1.2285551679 201299358 0     516.4421235003 20.5188840045 6.4886408500 201299358 0     1867.7223754998 104.2064150232 32.9529618281 201299358 0      
234881024  7282.5450683000 22.3970644273 7.0825736493 234849338 0     8676.3332031002 180.2442843702 56.9982473849 234849338 0     647.7522278001 5.7912739883 1.8313616357 234849314 0     685.4113892000 34.5770019646 10.9342080870 234849338 0     678.6799987999 39.1660437521 12.3853905197 234849338 0     2112.0252198000 272.0482636188 86.0292146547 234849338 0      
268435456  7944.8353027001 19.5887769986 6.1945151894 268399079 0     9591.7156251002 38.1855881541 12.0753432362 268399079 0     753.3518798998 30.8968226896 9.7704332163 268399103 0     813.8271361999 31.2347043017 9.8772807637 268399079 0     806.4284301999 60.8072473605 19.2289399908 268399079 0     2560.2834228999 92.7208459475 29.3209059778 268399079 0      
301989888  9402.2942380999 18.0162626173 5.6972424795 301949011 0     11094.5209960000 22.3591761811 7.0705923338 301949011 0     949.7386841998 107.0645788103 33.8567925774 301948956 0     979.7468993997 71.9285471511 22.7458037789 301949011 0     933.9813842998 62.8979387709 19.8900746650 301949011 0     2873.6491211998 181.6617200340 57.4464798983 301949011 0      
335544320  9964.4564454000 42.7636756588 13.5230616205 335498927 0     12007.1551754998 22.3956375987 7.0821224465 335498927 0     1050.6081847001 97.1774100088 30.7301952750 335498898 0     1026.8676391999 90.2656816771 28.5445148653 335498927 0     1073.9328671998 55.9861057995 17.7043611653 335498927 0     3203.7499267000 119.0783926863 37.6558941008 335498927 0      
