33554432  7475.5349608000 6.9090151133 2.1848224147 33549917 68260      
67108864  15086.7561525001 18.0344530338 5.7029947943 67099736 71660      
100663296  23046.9019531000 57.8842239576 18.3045988301 100649598 73085      
134217728  30479.5291016001 59.5125273224 18.8195135655 134199570 74099      
167772160  39082.4406250000 105.6814421149 33.4194063501 167749446 74640      
201326592  46054.0441406000 25.9258030683 8.1984587866 201299380 75100      
234881024  53985.3699217001 99.9764106060 31.6153169810 234849356 75434      
268435456  61364.6027345001 104.2722603025 32.9737839336 268399098 75723      
301989888  71243.3046874000 91.8112717054 29.0332733471 301949028 75958      
335544320  78117.6164063000 102.5112155658 32.4168926907 335498936 76101      
369098752  86834.1945312000 88.8913968173 28.1099278342 369048819 76258      
402653184  94104.7906249999 158.0169344209 49.9693421658 402598747 76399      
436207616  102428.3890626001 117.1456941099 37.0447211476 436148710 76576      
469762048  109329.9101564001 302.2464087187 95.5787066177 469698596 76658      
503316480  117574.4648438002 130.5316080395 41.2777188058 503248446 76732      
536870912  125280.9289062000 141.1971466198 44.6504582444 536798408 76819      
570425344  137157.2687500000 125.1236471354 39.5675714103 570348298 76911      
603979776  144429.8078125001 99.9679609184 31.6126449551 603898247 76990      
637534208  153069.5218749999 189.0312279290 59.7769229166 637448178 77072      
671088640  160073.8156249999 271.4661453012 85.8451326796 670998137 77137      
704643072  169487.4343749999 246.1249366041 77.8315388650 704548030 77241      
738197504  176025.4109375000 208.1713010583 65.8295454839 738097829 77274      
771751936  184313.9953125000 317.4370208556 100.3823999583 771647734 77312      
805306368  191660.8843750000 274.0359902808 86.6577890165 805197436 77363      
838860800  200762.7937500001 223.5723002707 70.6997690593 838747387 77428      
872415232  206685.0468750000 120.1687256473 38.0006876573 872297494 77461      
905969664  216465.7249999999 274.0188272089 86.6523615766 905847382 77494      
939524096  222726.6828124998 249.4343215011 78.8780582579 939397197 77552      
973078528  231245.2296875000 257.0592865123 81.2892839094 972947129 77574      
1006632960  237979.0906249999 197.4552727406 62.4408397883 1006497011 77617      
1040187392  248995.3906250001 258.6266149600 81.7849166830 1040046878 77668      
1073741824  0 0 0        
 
