33554432  12350.3842774000 80.4832934809 25.4510520996 33549910 68260      
67108864  24960.3808593002 64.0853122038 20.2655551131 67099746 71660      
100663296  37641.1496095001 70.2396757994 22.2117357642 100649592 73085      
134217728  50226.1941405999 104.5451286046 33.0600724672 134199575 74099      
167772160  63823.5464843001 180.9378684243 57.2175779209 167749444 74640      
201326592  76174.6242187000 650.8925628758 205.8303010796 201299410 75099      
234881024  88336.8906250000 199.4054425738 63.0575376380 234849382 75434      
268435456  101463.6664060999 647.4373128635 204.7376550871 268399147 75723      
301989888  115447.5835939000 364.6407463618 115.3095286231 301949043 75958      
335544320  127911.5476562000 221.3872875159 70.0088073571 335498995 76101      
369098752  140334.5796875001 399.3108798108 126.2731874715 369048838 76258      
402653184  152444.5125000001 364.0218859081 115.1138277644 402598758 76399      
436207616  164905.8250000001 369.6509240529 116.8938859218 436148665 76576      
469762048  177089.1406250000 289.1169550809 91.4268088248 469698511 76658      
503316480  191013.5390625002 1564.3069861476 494.6773036046 503248383 76732      
536870912  203345.8671874999 501.9184158854 158.7205393815 536798445 76818      
570425344  219401.6375000000 354.4801271230 112.0964586998 570348255 76911      
603979776  232207.4843749999 824.2660232625 260.6558031455 603898280 76990      
637534208  244703.0703125000 509.6536167254 161.1666246629 637448088 77071      
671088640  256854.8765625000 1047.6031365857 331.2811995618 670998166 77137      
704643072  268833.2812500000 647.7664757596 204.8417455344 704548103 77241      
738197504  283229.1718749999 4556.1606264156 1440.7844965364 738097803 77274      
771751936  293978.0000000001 838.9341481852 265.2942715215 771647636 77311      
805306368  306458.6906250002 594.3114747369 187.9377899782 805197534 77363      
838860800  318943.7437500000 934.4944600103 295.5130954505 838747284 77428      
872415232  346173.3625000000 3060.8777690842 967.9345389890 905847268 77493  
905969664  344877.2750000000 1274.5234609351 403.0397067962 905847291 77494         
939524096  356502.0750000000 768.1590091128 242.9132074027 939397209 77552      
973078528  369233.7812500001 1101.2337179754 348.2406785053 972947271 77574      
1006632960  383238.5500000001 4029.0870969607 1274.1092117866 1006497018 77617      
1040187392  394811.9468750000 2277.8230306387 720.3108883761 1040046722 77668      
1073741824  1 0 0 0 0     
 
