33554432  98.4631492000 2.5083800646 .7932194241 7275 0      
67108864  214.1175645998 1.2131179564 .3836215812 12378 0      
100663296  247.0212983000 6.7012783494 2.1191302819 8628 0      
134217728  399.5323943000 6.8065165557 2.1524095248 7420 0      
167772160  507.2501434000 8.3947532766 2.6546540749 9466 0      
201326592  543.6567445002 7.3389476500 2.3207790203 12570 0      
234881024  657.3629639000 2.7273238515 .8624555287 16699 0      
268435456  610.9204103001 14.1288944243 4.4679487201 16984 0      
301989888  861.2219665000 4.4995388425 1.4228791163 22764 0      
335544320  1014.4995301000 3.7121995680 1.1739005764 20365 0      
369098752  1024.9146606000 16.5868946983 5.2452366557 16744 0      
402653184  1124.6432373000 8.6832887539 2.7458970043 20833 0      
436207616  1370.8723144998 19.2945148636 6.1014613318 21107 0      
469762048  1487.6431884000 18.9640437148 5.9969571787 28222 0      
503316480  1686.6640015000 33.0372142619 10.4472844616 30585 0      
536870912  1270.7822387001 32.0467498804 10.1340721229 33217 0      
570425344  1819.4312743999 37.4667000151 11.8480108460 30607 0      
603979776  1797.4407837000 10.2701557185 3.2477083995 37793 0      
637534208  2116.1699219000 12.2579656435 3.8763090914 36116 0      
671088640  1870.0308594000 22.1017553252 6.9891887116 26415 0      
704643072  2147.0907715001 24.8530846860 7.8592354490 35992 0      
738197504  1890.2857666001 11.0142932962 3.4830253633 23684 0      
771751936  2082.3014403000 26.5762506122 8.4041483603 27008 0      
805306368  2119.7503418001 37.1119853195 11.7358402102 32720 0      
838860800  2460.2905030000 62.4051176642 19.7342309473 40038 0      
872415232  2248.2821776001 36.6314118756 11.5838695437 26362 0      
905969664  2900.3672362999 16.7530435100 5.2977775232 41667 0      
939524096  2193.2744629999 22.3817521948 7.0777314962 35377 0      
973078528  2951.2043701000 15.1204526294 4.7815069562 36757 0      
1006632960  2748.6067627001 16.8051705906 5.3142615535 48498 0      
1040187392  3230.1134520000 15.4438581901 4.8837767742 40930 0      
1073741824  3381.0123777998 56.9685494478 18.0150371254 44884 0      
 
