369098752  7760.0610839001 23.4576141495 7.4179489187 352 0     9920.5327148001 43.3801375023 13.7180039721 188 0     1290.4097899000 5.2262059428 1.6526714300 352 0     1276.0876098998 4.8107543482 1.5212941004 352 0     1248.6056153001 3.9787110241 1.2581788988 352 0     557.3916013000 3.5759159422 1.1308039098 352 0      
402653184  8228.2488770003 58.3649901783 18.4566304580 285 0     10642.3038085001 27.1584844904 8.5882668789 186 0     1418.6530516999 3.7001987427 1.1701055822 285 0     1398.9336059000 2.6577703061 .8404607665 285 0     1374.0863524000 4.3216869266 1.3666374022 285 0     589.4519652002 22.3224069769 7.0589648905 285 0      
436207616  10691.7102539000 64.9885112698 20.5511717360 145 0     12939.4620116000 38.0872356918 12.0442414568 164 0     1640.8458984998 16.3045972544 5.1559663656 145 0     1623.4325440000 4.7758519234 1.5102569845 145 0     1317.3880373002 170.8201880586 54.0180864615 145 0     554.0229797999 2.3295794103 .7366776926 145 0      
469762048  10124.5989257003 34.7967494955 11.0036983578 155 0     12820.8875000001 37.2784599676 11.7884841163 175 0     1302.5301146999 2.9806305458 .9425581388 155 0     1272.7496947999 3.0690037093 .9705041869 155 0     1242.7505005000 4.3428146383 1.3733185713 155 0     598.2177796999 4.6892354633 1.4828664549 155 0      
503316480  11544.8254884001 49.2441556905 15.5723693437 156 0     14150.8911133000 34.5337511531 10.9205309795 186 0     1368.0963257999 4.7910011156 1.5150475798 156 0     1338.2881102998 4.0174216038 1.2704202589 156 0     1305.5379030002 7.2043875762 2.2782273887 156 0     638.4241333002 1.9642627596 .6211544243 156 0      
536870912  11549.3073242000 8.6976742836 2.7504461083 163 0     14562.7513672999 7.5737692986 2.3950361456 211 0     1711.3937011998 158.5281119132 50.1309906822 163 0     1800.6299562000 6.3419105570 2.0054882077 163 0     1814.5427733998 22.8136382886 7.2143058708 163 0     763.8997680002 2.1070160829 .6662969888 163 0      
570425344  13475.0142578001 63.2237266148 19.9930978270 202 0     16748.3285155998 155.6392031498 49.2174375177 252 0     2084.6879637000 3.5345617165 1.1177265554 202 0     2027.9635986000 17.2819254079 5.4650246643 202 0     1992.9440919000 4.9824615329 1.5755926798 202 0     854.7248962001 3.7423705051 1.1834414644 202 0      
603979776  13638.5874023001 11.3445742566 3.5874693736 206 0     16782.9574219002 23.1454403698 7.3192309017 258 0     2132.4463380000 21.4829338159 6.7935001682 206 0     2100.1823487000 6.2185501904 1.9664782346 206 0     2035.5295533001 6.6801415133 2.1124462274 206 0     865.3038207000 5.3498145479 1.6917599031 206 0      
637534208  11764.7613282000 20.9076655920 6.6115843829 776 0     15135.7192382002 436.8104468358 138.1315917786 311 0     1823.7109618000 3.1722918273 1.0031667577 776 0     1786.8683104999 2.1155488844 .6689952976 776 0     1750.3370484000 3.4432204408 1.0888419079 776 0     745.8459596001 5.5406122017 1.7520954189 776 0      
671088640  10703.5652344001 12.4174727445 3.9267496656 781 0     14838.1204102000 19.4746654526 6.1584299501 325 0     1917.9998168000 4.0869031947 1.2923922672 781 0     1877.0796998000 4.5762182697 1.4471272802 781 0     1839.9063476001 8.4419072424 2.6695654682 781 0     805.5374389000 4.4933829678 1.4209324577 781 0      
