0.22  1113.1394960000 8.2052446868 0 493     1405.9854430000 8.6954368581 0 493     293.3240967501 .5983887759 314377 493     353.2457577500 1.1056602332 314390 493     77.7028999999 9.3859657245 314377 493     70.2916372501 3.4753127563 314377 493     75.4148007500 2.0071634435 314377 493     61.6740377500 13.2517643608 314377 493      
0.24  1065.8349915000 9.4304019671 0 485     1416.3106080001 11.6856280338 0 485     291.7047347501 .9281589520 318766 485     352.1053087500 .5360783890 318766 485     74.1128157500 2.4792286872 318766 485     71.7023982500 2.4843211714 318766 485     73.6744497501 2.4160662004 318766 485     56.8831377500 1.9028792321 318766 485      
0.26  1005.3136140000 4.2477316090 0 482     1401.2617185000 3.3553123751 0 482     297.3715515001 10.3171407240 324527 482     350.1803437500 .5847343920 324527 482     73.9913137499 3.5475801946 324527 482     71.5324135000 1.6446297595 324527 482     77.1806007501 2.2484208851 324527 482     57.4522722500 2.9545930989 324527 482      
0.28  981.6654970000 10.5395637873 0 505     1395.9989930000 10.3509048077 0 505     290.1507034999 .7531615993 330613 505     349.9442137501 .9552631994 330433 505     73.6125660000 2.3622230147 330613 505     73.9187372500 3.6560194194 330613 505     77.5186902500 3.8615131533 330613 505     59.2782420000 3.0365214299 330613 505      
0.30  915.1522522500 9.9048395137 0 501     1400.7542115001 6.2016998440 0 501     289.1422805001 1.9949963109 333925 501     347.3525240000 .7051303444 333925 501     73.3973962499 2.5217089009 333925 501     72.3749675001 1.7747088177 333925 501     83.0938415000 12.3714798678 333925 501     65.2616042500 13.0238122602 333925 501      
0.32  836.3959350000 11.1782360756 0 506     1392.4613037499 11.4685490409 0 506     286.9511030001 1.0185167669 339713 506     348.2021864999 .3781073089 339707 506     79.9754697499 2.6751609057 339713 506     75.7135395000 3.0876689061 339713 506     77.5281070001 3.1614819521 339713 506     60.0928145000 1.7804931736 339713 506      
0.34  831.4095765000 11.5736982669 0 516     1398.2843935000 5.8955251659 0 516     288.7836687500 .4262593683 345440 516     345.7379912501 2.2653264774 345653 516     75.5008870000 1.9713778188 345440 516     78.2718217500 3.7924644381 345440 516     83.8617650001 7.2657440765 345440 516     60.2323945000 2.1044935773 345440 516      
0.36  737.2735140001 10.1334515668 0 502     1386.4102475001 12.6066477906 0 502     287.6285857499 1.1253064359 349365 502     345.0749970000 .8350121127 349365 502     77.7654722501 3.5854970199 349365 502     77.5365905000 2.7925561477 349365 502     79.6468712500 5.9513233739 349365 502     59.4729052500 1.9364825021 349365 502      
0.38  639.5214232500 3.6717951359 0 513     1390.9643555001 12.7208431847 0 513     291.4071502500 10.3535407728 355259 513     343.8502882500 .8902335790 355259 513     77.8257845000 2.7541597635 355259 513     76.6615045000 1.6670901340 355259 513     80.0759755001 2.5110021556 355259 513     61.6673735000 2.3101212438 355259 513      
0.40  590.4665222499 7.8306529361 0 525     1384.5567627499 14.6840002671 0 525     282.4362640000 2.1377495581 360786 525     340.9524535001 .4022115335 360858 525     80.3769357499 3.5128039475 360786 525     77.3193647501 1.8575577979 360786 525     80.8697357499 4.5417814219 360786 525     61.7492065000 2.0793319464 360786 525      
0.42  481.1793445000 4.8587102993 0 522     1394.3560485000 13.2403576744 0 522     283.1370775001 9.8826734485 364874 522     339.2149507499 .3145343114 364874 522     80.7646712500 3.3594481922 364874 522     78.8143292499 1.9002369925 364874 522     84.4600065001 8.0373654147 364874 522     61.6071122500 .8135269450 364874 522      
