numero,cpu_manhattan,gpu_scan,cub_flagged,thrust_scan,thrust_copy,omp_euclidean,omp_manhattan
33554432,1.1144919109344487,8.103145383532903,8.194657059948371,8.25168612664086,14.15454911382195,7.273520824579785,7.212429732038268
67108864,1.1098887302302813,7.783848743580067,7.981365483581953,7.915926170005915,15.029509657648893,6.354608839571691,6.355418304627826
100663296,1.1180170818647215,7.999903365536149,8.061807310211048,8.308313563683441,15.653003449545349,9.004381837182496,8.7628789075958
134217728,1.1163664730973804,7.755288400048229,7.885090926441726,8.127633950384665,15.143954577285564,6.892058602711185,6.902957289689038
167772160,1.1103028681477316,8.04127758933081,8.414398820083084,8.622756309716877,16.39031984145359,7.354771866923484,7.145349465267593
201326592,1.1056725742295208,7.673489971021406,7.902763387608184,8.202939309521684,15.416681673810746,7.66428148200165,7.601700276705532
234881024,1.1146033252239949,8.010577804803363,8.34780678522747,8.56605609031842,16.279063783619456,7.806858002696306,7.759369999548587
268435456,1.1114933396739681,7.872553629436764,8.038513804097589,8.279221812030487,15.95541693120995,8.891514965180306,8.91153884370232
301989888,1.1117403869855786,8.12880671503995,8.34734145962574,8.450177235587246,16.252007587065542,7.728039277339572,7.587543326323179
335544320,1.1092789825805607,7.821887058199885,7.898143394339619,8.30266470851873,16.31600609586889,6.688303799328953,6.770066995026792
369098752,1.1153462885732905,8.252015093560127,8.158147120992314,8.657888873257477,16.706094388044797,8.01072743581793,7.801767080118593
402653184,1.1096731959139388,7.707091611909005,7.957949093385206,8.103208704252609,15.86753307015512,7.394294806808368,7.378836261553182
436207616,1.1184958889722731,8.258774550526647,8.374896351349252,8.673188094221983,17.419309993487094,6.902919740546123,6.914572634621021
469762048,1.1032059949719115,7.700262841234355,7.900328302761911,8.102770957940578,15.545618148395992,6.529763313962034,6.496442791160431
503316480,1.118905526477129,8.263115759911667,8.453515669263584,8.698066849328612,17.475509191890406,6.45795752680569,6.499233130576719
536870912,1.1019785296723859,7.708200177937806,7.955188059911981,8.062789022508511,15.799425709016212,8.933759511981005,8.681074104863654
570425344,1.1176923292511631,8.247769846166593,8.458506183958857,8.629355381104938,17.31939578191357,6.7238468799061675,6.817147276470319
603979776,1.1141509357936654,7.672716311403937,7.930813754507567,8.231692001418248,16.343374960509063,6.7942786062115355,6.890963333825794
637534208,1.1052972599207596,8.05573641293959,8.243942361987353,8.471623120035394,16.166589755857963,6.594565601900178,6.502812098777378
671088640,1.108515715375407,7.777111808068948,7.965755967563935,8.179756250179134,16.58190026156633,7.320950762878448,7.386397157922698
704643072,1.1181602201830498,8.191469517651363,8.378466602751187,8.574110029851157,17.503467198573645,7.246359631618133,7.138799709800339
738197504,1.1122205614168317,7.743109615933937,7.9280893504627485,8.154785046016539,16.563663088753817,7.959268656656632,8.035565317311953
771751936,1.1124835383191907,8.123816406118138,8.327382904677595,8.554752005523332,16.340688419791196,8.024565752399653,8.063603097436804
805306368,1.1012852248771372,7.697559401388498,7.9366280597992285,8.129453786364465,16.252479680174723,7.744958050434634,7.801219957798012
838860800,1.1095904438841133,8.12716396723003,8.348915842160046,8.559661312561591,17.38865345913813,7.504561598192498,7.36577611522
872415232,1.1069046122658541,7.747531531470923,7.673963608189701,8.129049563945161,16.598908799287,8.009124071838587,7.989979155407952
905969664,1.1201332048207469,8.18168429315833,8.349322362488525,8.623679744008786,17.558903784477714,6.844563293777586,6.814340270583713
939524096,1.1054799657289687,7.8081738908248255,7.931981557775092,8.200555973070513,16.2498486559134,8.885308973881493,8.802448874361822
973078528,1.116765450649081,8.147785606258486,8.357250327485108,8.54084535632573,17.20435087033563,7.2402855121987155,7.1876297259214335
1006632960,1.1019460350579275,7.685616574376831,7.899015241571626,7.940546023274254,16.440758461412333,7.445286751181742,7.537003641564659
1040187392,1.113053470004886,8.139859503008871,8.324205275416476,8.584248160368178,17.227246254487262,6.985229886156472,6.992545122065298
1073741824,1.108379104012754,7.706971258576314,7.906957088186018,8.119598608701741,16.61173236058808,6.48609619675342,6.53772319561406
