numero,cgal_graham_andrew,cpu_manhattan,gpu_scan,thrust_copy,omp_manhattan,qhull
33554432,1.0721569780227995,0.8367655481196277,0.9282531443086515,0.9364665182685662,0.5120467941268781,0.1942880799509893
67108864,1.095188157940044,0.8507901888004961,0.9512118055698591,0.9257685788584213,0.5162462934692738,0.1877368294304225
100663296,1.07655022524474,0.8327089786627546,0.9400803313371001,0.9307901208907958,0.5188094801870968,0.20241482737168337
134217728,1.0788110761214271,0.8462387771562608,0.9492463104832622,0.9263392554874815,0.5213047333129722,0.20037812350915954
167772160,1.0987114906060726,0.8334376471739553,0.9402554124769458,0.9198997854656312,0.5269695176934237,0.20378601481845904
201326592,1.0837122308627676,0.8391531169836723,0.9401203897448901,0.923681955650075,0.5220919874991112,0.20240131526835442
234881024,1.0779945690261232,0.8355499236426112,0.9445004380789068,0.9292862709495484,0.5221571449824901,0.19872959920890412
268435456,1.0791465307741677,0.8480946440258303,0.9555962698068837,0.9376743087997461,0.5312093471506641,
301989888,1.091101817386646,0.82717032110506,0.9316835143412522,0.9148528796803194,0.5287051588158328,
335544320,1.0923870957020287,0.8239759462487667,0.9539608307736404,0.9240658976290254,0.5408210286952471,
369098752,1.088299429546509,0.8131777720444482,0.9377677832892868,0.9005984979468471,0.5299459366152853,
402653184,1.1052933092158992,0.8227481416182312,0.9495542607523072,0.9129037022731166,0.5387623590533157,
436207616,1.1053613522458248,0.8394221272781139,0.9645085781286495,0.9455438947883906,0.5444434386651039,
469762048,1.088789388348514,0.8398959498368427,0.9731496524112966,0.9495180029759999,0.544040544325731,
503316480,1.0619770499424017,0.8348861894464968,0.9709690911330274,0.9549061554210019,0.5318510511398566,
536870912,1.0817384362288875,0.8490353612377801,0.9362704607078605,0.9049352453557223,0.533090599664467,
570425344,1.0939837341945855,0.8312392781482072,0.9404366954419712,0.927773546245688,0.5302628517105441,
603979776,1.0963001547332754,0.8304877147423724,0.9349654778042685,0.9270659020704145,0.5319484693021457,
637534208,1.087050967603169,0.8132719746289054,0.9535916737106535,0.9033264694727383,0.5278473266250903,
671088640,1.0860429915049077,0.8445248166164251,0.9534888562001314,0.9356768349996746,0.5247513458555684,
704643072,1.074633108467131,0.836803139723433,0.9536148693954404,0.9361356546145871,0.5238515337597829,
738197504,1.080963406537024,0.8465367783431258,0.9535229133723673,0.939988985312068,0.5242910530639877,
771751936,1.0749544509690592,0.8391169147042498,0.9585468630827859,0.9375594686423482,0.5261855296307721,
805306368,1.0726050771773061,0.8408819946539899,0.9492766087276621,0.9372324992502802,0.5239878411351678,
838860800,1.0560600022854958,0.8360253852434277,0.9526676765520977,0.9368598774581576,0.5263076532482736,
872415232,1.0597089734726683,0.8449177237647895,0.9578570804816817,0.9468453070005016,0.5271256527895967,
905969664,1.0549491649517813,0.8403107862859168,0.9557705803564787,0.9417275015478502,0.527173205580884,
939524096,1.0641245019312016,0.840916676959313,0.9527745216379103,0.9210342546605788,0.5243219272032525,
973078528,1.0906633156621515,0.8727681227549661,0.9981083498347789,0.9708988362178642,0.5569253774759888,
1006632960,1.0571328410190757,0.847908754238137,0.9604564923203831,0.9437484923611082,0.5396558906812007,
1040187392,1.072058919312862,0.8460640525743277,0.9576831048994385,0.9346351584362007,0.5438823835165135,
1073741824,1.0959848839862947,0.8704627983143842,0.9757400987370073,0.9595359510903884,,
