numero,cpu_manhattan,gpu_scan,cub_flagged,thrust_scan,thrust_copy,omp_euclidean,omp_manhattan
33554432,1.0384137933378101,6.121465164789202,6.358267972470993,5.946855068291352,10.327674978874937,6.682932095358188,6.429711223371384
67108864,1.0412000576167846,6.069043613192766,6.148165463170434,6.014473597336411,11.436334939725752,6.569535279189548,6.584852278993201
100663296,1.0324553844316422,6.661938686711831,6.6141623495323865,6.540723080415939,12.59959354109532,6.82054024100837,6.741719091720865
134217728,1.0306654981220165,6.053333147811353,6.272643823792733,6.236361278879724,11.977088595799165,6.605663739642045,6.567492403247485
167772160,1.0402166353141413,6.656245974701698,6.906129319209846,6.889922666838102,13.372660479030019,6.967137031275444,6.849286995995503
201326592,1.033200596408327,6.5703755234019985,6.786236019621876,6.847221559633666,13.342314747029453,6.905386102731626,6.840012708679109
234881024,1.0290997855670285,6.555625809269835,6.460862521344543,6.652652880895632,13.73090126131927,7.048664532291827,6.926457127430772
268435456,1.0000344995299144,5.5434673659508835,5.926793375620891,6.551987526306498,13.939966817911397,6.844213674966038,6.739494979524867
301989888,1.0256929106652006,6.560291747233364,6.726243026338728,7.0055837024852465,14.942340652606385,6.969676450641724,6.870589487862849
335544320,1.0376607250585401,6.543419753494642,6.217876179917339,6.0691146334078105,13.09806350209548,6.7802328561714305,6.748113940031819
369098752,1.019410275431268,7.196791622587187,7.383792485214364,7.44942873729136,15.258658425249749,7.002128738187699,6.914144321282889
402653184,1.0249964724652534,6.872419398543571,7.042826276373653,7.16625450324233,15.313371808821326,6.9030947106851075,6.794033534024655
436207616,0.9949664799616144,8.185160586022688,8.46759141286477,8.493746945037724,17.59151771497698,6.979090349787793,6.922396755257745
469762048,0.995113786485042,7.828170123183902,7.86699040378418,8.194865760295146,16.580872146172762,6.84304732435967,6.783670750254492
503316480,0.9989524501268593,8.01389803484448,8.415058396647357,8.554088642094435,17.555586248949446,6.980637424517678,6.895950168913128
536870912,0.9929614352918248,8.206216670052424,8.117821512179514,8.398418810571481,16.61968945285341,6.6945215539241865,6.79215488152496
570425344,0.9955761733257081,8.557762425000567,8.83635451908681,8.980216611259413,17.371880109099852,7.000613327252067,6.925991452966412
603979776,1.0002340453492455,7.980091172528889,8.017359504001913,8.394488335942281,16.72662680423236,6.78924652112329,6.757823940622036
637534208,1.039543624059891,6.331087507198185,6.551929079751117,6.627154368371055,13.76499551391777,6.77968147145347,6.77431473066787
671088640,1.0439805740194268,5.946243015077335,6.000079548663516,6.0399892610706285,13.373394141298993,6.622823277400603,6.613325315460117
704643072,1.0387735802781384,6.000716810585832,6.317882246917662,6.476144653452283,14.510377369904013,6.746833762247894,6.747973974922264
738197504,1.0322715708856611,5.897355476194502,6.020039469905849,6.032192758254825,13.252650868891942,6.581225639877153,6.5493955446707455
771751936,1.037230848294844,6.28810851974686,6.3767477967451445,6.580140206963384,14.02378578295891,6.728628495019071,6.70295797994575
805306368,1.0333380476810146,5.86295857795315,5.9962178183360875,6.095239162038886,12.676423044617604,6.550474473524112,6.515019246641177
838860800,1.0280752600620988,6.166515147019836,6.072890101464416,6.342483756795235,13.725777119249289,6.785201795208478,6.656684868824754
872415232,1.0261815561765997,5.865731725834684,6.002611795089262,6.1807426910632195,12.771098882505111,6.571415864002798,6.587058785852143
905969664,1.0285633823107432,6.224333460155458,6.308918453514651,6.487712165957532,13.850556939418452,6.656324688846788,6.676566840914856
939524096,1.031246448326887,5.8743643203547435,5.9937974945356345,6.11699142874513,12.769926595656994,6.54900719949559,6.538552503677233
973078528,0.9972153272863574,6.9661326129465,7.255542538177093,7.696691864667869,16.01738927931439,6.894234158951251,6.861353132619391
1006632960,1.0062358148933164,6.9745004316908945,7.137856730925247,7.165761806077229,15.647353697147574,6.749936485905844,6.707108166425714
1040187392,1.0045996174625769,7.499753919010574,7.610656186834894,7.889852130312611,16.15757421595253,6.843028773140602,6.841834217883311
1073741824,1.0046265493418167,6.988534094521225,7.183263811136813,7.363397210582912,15.324920343546934,6.742349482665153,6.733344369622228
