numero,cgal_graham_andrew,cpu_manhattan,gpu_scan,thrust_copy,omp_manhattan,cudachain,qhull
33554432,0.7388035200019227,5.784254787734763,40.759228872786096,80.66816115428827,36.14989464467678,21.806362864417828,1.1149646360349201
67108864,0.7659631197297913,6.568170984140366,43.55137329714221,85.63707695769227,37.046429711403476,22.758912540565987,1.3369464983056312
100663296,0.8509716631258154,7.042116327901586,48.71354989667606,96.2336358545186,55.40917738515628,29.24954906429313,1.5097466168742313
134217728,0.9469385558173085,8.465795282187358,56.46350995093687,114.81111579486632,51.424032583350844,33.51565992039395,1.7214903023880597
167772160,0.981662374975629,8.38016206812655,59.18844444047438,123.556828922373,54.888160555352016,35.85750556564189,1.7737676554380337
201326592,0.9828689003844427,8.757358220603253,58.8514746779383,121.9981742799009,59.86694314237477,34.79578933021832,1.7862635725642537
234881024,0.995033382916024,8.581995508445901,61.049053622186335,125.81221951048526,58.47408702611598,35.91532960212537,1.8323395491433894
268435456,1.0164479686098087,9.377242256594853,65.17044196402851,134.22754421520767,74.95592425223455,37.699178086855824,
301989888,1.029007828197222,9.042201346061594,65.83938544895666,137.3244353728085,60.05046496499218,38.20605415246878,
335544320,1.0317719523151534,9.51833311766554,64.09098176701285,133.84017912958802,56.05419169961951,39.407715440174364,
369098752,1.0660002480704394,9.295167776845853,67.68176944995379,142.25559589138717,65.85211479916997,38.52128709016586,
402653184,1.055615595472267,9.855069560922342,67.60615102221269,143.47828341767345,64.19251653880465,39.53589274994374,
436207616,1.0444177910996144,9.359244104242867,66.84062749453703,134.36746718659376,57.11772330285154,39.5973547340791,
469762048,1.0510787013480953,9.878187034856468,68.52994392986199,145.20721047843057,57.84336008947327,39.29258095857036,
503316480,1.0357658903936062,9.413669176196859,68.01498164546477,143.46353130423495,54.06104149887717,39.65060562232703,
536870912,1.0394779365514224,9.963199884148743,69.26363758507723,141.04131154615828,79.03860210529695,40.88986372210521,
570425344,1.0761898494043114,9.847768645644926,70.59363425060438,141.58822799663432,57.56522460278471,40.71931870736381,
603979776,1.082329530332293,10.400067449371452,72.04854223538437,153.1422625853838,61.2925610527722,41.76060171288331,
637534208,1.0752447944021755,9.96543223917924,72.40847213006722,154.64187831412264,57.65584556154723,41.040972752381336,
671088640,1.081267970655265,10.484756711630613,72.01506470188983,155.31965972592536,68.22992063622311,41.65091305207918,
704643072,1.0693802754863284,9.929390659007337,71.60018078605283,147.97939221883937,63.58834586116729,41.66738986549476,
738197504,1.0612674572952367,10.429513168676225,72.28344306575373,152.3962170322681,74.02091162758944,40.09458580311042,
771751936,1.0710814253384517,9.997824591090051,72.76463265867736,155.93643342971842,72.1099960093913,41.53159166830999,
805306368,1.075520594491388,10.543721706548391,72.46936769287761,156.4710421499428,71.81940033705912,41.62916488580897,
838860800,1.0727050454611076,10.057751791954011,72.61264141789565,156.55642683879452,66.62115240123349,41.35384432652855,
872415232,1.06952806173898,10.690448572617086,74.56173483934813,155.56086856875916,76.2832764943603,40.231915064731325,
905969664,1.070882681821263,10.02274355684623,72.98287642785249,147.76280473439877,60.91157080710849,39.76623052917328,
939524096,1.0747870106619621,10.715951624780269,74.71781521855468,152.45077438145452,83.21221664827138,41.05484720265663,
973078528,1.0891549395848732,10.269734919192254,75.13877398561638,154.744527076474,65.9953453252662,40.78850804114722,
1006632960,1.0731175250945517,10.794160213754507,74.85255726523428,161.12627877213995,72.07086801644525,41.14684757661473,
1040187392,1.0856105358980526,10.291375987144686,74.05007640609452,159.56879517998618,63.91464228522176,40.30474146120463,
1073741824,1.0792661049498464,10.848603556856196,60.498405437374274,132.45759861751492,63.733387995641245,40.30376710539754,
